DATE,DGS30
1998-11-01,5.2484210526315789
1998-12-01,5.0590909090909091
1999-01-01,5.1578947368421053
1999-02-01,5.3652631578947368
1999-03-01,5.5804347826086957
1999-04-01,5.5477272727272727
1999-05-01,5.8055000000000000
1999-06-01,6.0418181818181818
1999-07-01,5.9833333333333333
1999-08-01,6.0686363636363636
1999-09-01,6.0714285714285714
1999-10-01,6.2635000000000000
1999-11-01,6.1450000000000000
1999-12-01,6.3513636363636364
2000-01-01,6.6255000000000000
2000-02-01,6.2320000000000000
2000-03-01,6.0534782608695652
2000-04-01,5.8463157894736842
2000-05-01,6.1486363636363636
2000-06-01,5.9263636363636364
2000-07-01,5.8510000000000000
2000-08-01,5.7160869565217391
2000-09-01,5.8265000000000000
2000-10-01,5.8033333333333333
2000-11-01,5.7757142857142857
2000-12-01,5.4905000000000000
2001-01-01,5.5409523809523810
2001-02-01,5.4547368421052632
2001-03-01,5.3395454545454545
2001-04-01,5.6460000000000000
2001-05-01,5.7800000000000000
2001-06-01,5.6695238095238095
2001-07-01,5.6133333333333333
2001-08-01,5.4834782608695652
2001-09-01,5.4829411764705882
2001-10-01,5.3154545454545455
2001-11-01,5.1180000000000000
2001-12-01,5.4800000000000000
2002-01-01,5.4452380952380952
2002-02-01,5.4515789473684211
2002-03-01,5.8085000000000000
2002-04-01,5.7918181818181818
2002-05-01,5.7572727272727273
2002-06-01,5.6770000000000000
2002-07-01,5.5850000000000000
2002-08-01,5.2759090909090909
2002-09-01,4.9630000000000000
2002-10-01,5.1818181818181818
2002-11-01,5.1821052631578947
2002-12-01,5.1333333333333333
2003-01-01,5.1376190476190476
2003-02-01,5.0247368421052632
2003-03-01,5.0271428571428571
2003-04-01,5.1271428571428571
2003-05-01,4.7628571428571429
2003-06-01,4.6185714285714286
2003-07-01,5.1277272727272727
2003-08-01,5.4457142857142857
2003-09-01,5.2757142857142857
2003-10-01,5.3000000000000000
2003-11-01,5.2466666666666667
2003-12-01,5.2131818181818182
2004-01-01,5.1310000000000000
2004-02-01,5.0768421052631579
2004-03-01,4.8995652173913043
2004-04-01,5.2776190476190476
2004-05-01,5.5105000000000000
2004-06-01,5.4757142857142857
2004-07-01,5.3061904761904762
2004-08-01,5.1459090909090909
2004-09-01,4.9838095238095238
2004-10-01,4.9440000000000000
2004-11-01,4.9475000000000000
2004-12-01,4.9113636363636364
2005-01-01,4.7650000000000000
2005-02-01,4.5589473684210526
2005-03-01,4.7745454545454545
2005-04-01,4.6500000000000000
2005-05-01,4.4900000000000000
2005-06-01,4.2795454545454545
2005-07-01,4.3780000000000000
2005-08-01,4.4417391304347826
2005-09-01,4.4519047619047619
2005-10-01,4.6405000000000000
2005-11-01,4.7040000000000000
2005-12-01,4.6200000000000000
2006-01-01,4.5715000000000000
2006-02-01,4.5742105263157895
2006-03-01,4.7343478260869565
2006-04-01,5.0626315789473684
2006-05-01,5.2013636363636364
2006-06-01,5.1540909090909091
2006-07-01,5.1345000000000000
2006-08-01,4.9960869565217391
2006-09-01,4.8520000000000000
2006-10-01,4.8547619047619048
2006-11-01,4.6857142857142857
2006-12-01,4.6825000000000000
2007-01-01,4.8519047619047619
2007-02-01,4.8215789473684211
2007-03-01,4.7218181818181818
2007-04-01,4.8661904761904762
2007-05-01,4.9013636363636364
2007-06-01,5.2033333333333333
2007-07-01,5.1080952380952381
2007-08-01,4.9321739130434783
2007-09-01,4.7931578947368421
2007-10-01,4.7736363636363636
2007-11-01,4.5200000000000000
2007-12-01,4.5270000000000000
2008-01-01,4.3304761904761905
2008-02-01,4.5170000000000000
2008-03-01,4.3930000000000000
2008-04-01,4.4431818181818182
2008-05-01,4.5961904761904762
2008-06-01,4.6890476190476190
2008-07-01,4.5709090909090909
2008-08-01,4.5019047619047619
2008-09-01,4.2690476190476190
2008-10-01,4.1731818181818182
2008-11-01,4.0044444444444444
2008-12-01,2.8700000000000000
2009-01-01,3.1280000000000000
2009-02-01,3.5868421052631579
2009-03-01,3.6431818181818182
2009-04-01,3.7600000000000000
2009-05-01,4.2270000000000000
2009-06-01,4.5163636363636364
2009-07-01,4.4068181818181818
2009-08-01,4.3709523809523810
2009-09-01,4.1857142857142857
2009-10-01,4.1885714285714286
2009-11-01,4.3147368421052632
2009-12-01,4.4940909090909091
2010-01-01,4.6047368421052632
2010-02-01,4.6194736842105263
2010-03-01,4.6447826086956522
2010-04-01,4.6931818181818182
2010-05-01,4.2860000000000000
2010-06-01,4.1277272727272727
2010-07-01,3.9942857142857143
2010-08-01,3.8031818181818182
2010-09-01,3.7733333333333333
2010-10-01,3.8725000000000000
2010-11-01,4.1860000000000000
2010-12-01,4.4177272727272727
2011-01-01,4.5230000000000000
2011-02-01,4.6521052631578947
2011-03-01,4.5139130434782609
2011-04-01,4.5015000000000000
2011-05-01,4.2933333333333333
2011-06-01,4.2327272727272727
2011-07-01,4.2705000000000000
2011-08-01,3.6513043478260870
2011-09-01,3.1823809523809524
2011-10-01,3.1280000000000000
2011-11-01,3.0155000000000000
2011-12-01,2.9823809523809524
2012-01-01,3.0260000000000000
2012-02-01,3.1090000000000000
2012-03-01,3.2813636363636364
2012-04-01,3.1842857142857143
2012-05-01,2.9309090909090909
2012-06-01,2.6980952380952381
2012-07-01,2.5900000000000000
2012-08-01,2.7708695652173913
2012-09-01,2.8815789473684211
2012-10-01,2.9004761904761905
2012-11-01,2.8035000000000000
2012-12-01,2.8835000000000000
2013-01-01,3.0804761904761905
2013-02-01,3.1652631578947368
2013-03-01,3.1625000000000000
2013-04-01,2.9327272727272727
2013-05-01,3.1127272727272727
2013-06-01,3.4000000000000000
2013-07-01,3.6050000000000000
2013-08-01,3.7577272727272727
2013-09-01,3.7870000000000000
2013-10-01,3.6759090909090909
2013-11-01,3.8000000000000000
2013-12-01,3.8890476190476190
2014-01-01,3.7690476190476190
2014-02-01,3.6626315789473684
2014-03-01,3.6209523809523810
2014-04-01,3.5176190476190476
2014-05-01,3.3900000000000000
2014-06-01,3.4200000000000000
2014-07-01,3.3318181818181818
2014-08-01,3.2009523809523810
2014-09-01,3.2600000000000000
2014-10-01,3.0400000000000000
2014-11-01,3.0383333333333333
2014-12-01,2.8331818181818182
2015-01-01,2.4550000000000000
2015-02-01,2.5663157894736842
2015-03-01,2.6263636363636364
2015-04-01,2.5859090909090909
2015-05-01,2.9550000000000000
2015-06-01,3.1118181818181818
2015-07-01,3.0663636363636364
2015-08-01,2.8557142857142857
2015-09-01,2.9528571428571429
2015-10-01,2.8880952380952381
2015-11-01,3.0300000000000000
2015-12-01,2.9700000000000000
2016-01-01,2.8584210526315789
2016-02-01,2.6230000000000000
2016-03-01,2.6845454545454545
2016-04-01,2.6233333333333333
2016-05-01,2.6276190476190476
2016-06-01,2.4522727272727273
2016-07-01,2.2270000000000000
2016-08-01,2.2617391304347826
2016-09-01,2.3504761904761905
2016-10-01,2.5005000000000000
2016-11-01,2.8620000000000000
2016-12-01,3.1133333333333333
2017-01-01,3.0190000000000000
2017-02-01,3.0321052631578947
2017-03-01,3.0813043478260870
2017-04-01,2.9415789473684211
2017-05-01,2.9590909090909091
2017-06-01,2.7963636363636364
2017-07-01,2.8840000000000000
2017-08-01,2.7952173913043478
2017-09-01,2.7765000000000000
2017-10-01,2.8780952380952381
2017-11-01,2.8019047619047619
2017-12-01,2.7680000000000000
2018-01-01,2.8776190476190476
2018-02-01,3.1310526315789474
2018-03-01,3.0914285714285714
2018-04-01,3.0719047619047619
2018-05-01,3.1318181818181818
2018-06-01,3.0500000000000000
2018-07-01,3.0066666666666667
2018-08-01,3.0417391304347826
2018-09-01,3.1510526315789474
2018-10-01,3.3395454545454545
2018-11-01,3.3610000000000000
2018-12-01,3.0957894736842105
2019-01-01,3.0352380952380952
2019-02-01,3.0236842105263158
2019-03-01,2.9776190476190476
2019-04-01,2.9404761904761905
2019-05-01,2.8177272727272727
2019-06-01,2.5745000000000000
2019-07-01,2.5727272727272727
2019-08-01,2.1190909090909091
2019-09-01,2.1580000000000000
2019-10-01,2.1904545454545455
2019-11-01,2.2805263157894737
2019-12-01,2.2976190476190476
2020-01-01,2.2161904761904762
2020-02-01,1.9705263157894737
2020-03-01,1.4550000000000000
2020-04-01,1.2652380952380952
2020-05-01,1.3780000000000000
2020-06-01,1.4936363636363636
2020-07-01,1.3104545454545455
2020-08-01,1.3580952380952381
2020-09-01,1.4228571428571429
2020-10-01,1.5685714285714286
2020-11-01,1.6152631578947368
2020-12-01,1.6704545454545455
2021-01-01,1.8247368421052632
2021-02-01,2.0426315789473684
2021-03-01,2.3391304347826087
2021-04-01,2.2995454545454545
2021-05-01,2.3160000000000000
2021-06-01,2.1636363636363636
2021-07-01,1.9428571428571429
2021-08-01,1.9163636363636364
2021-09-01,1.9357142857142857
2021-10-01,2.0595000000000000
2021-11-01,1.9355000000000000
2021-12-01,1.8477272727272727
2022-01-01,2.0995000000000000
2022-02-01,2.2463157894736842
2022-03-01,2.4065217391304348
